venue,player_of_match
Arun Jaitley Stadium,A Mishra
Barabati Stadium,A Symonds
"Barsapara Cricket Stadium, Guwahati",YBK Jaiswal
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MP Stoinis
Brabourne Stadium,Kuldeep Yadav
Buffalo Park,JP Duminy
De Beers Diamond Oval,DPMD Jayawardene
Dr DY Patil Sports Academy,YK Pathan
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RA Jadeja
Dubai International Cricket Stadium,RD Gaikwad
Eden Gardens,AD Russell
Green Park,DR Smith
Himachal Pradesh Cricket Association Stadium,AC Gilchrist
Holkar Cricket Stadium,KD Karthik
JSCA International Stadium Complex,RA Jadeja
Kingsmead,CH Gayle
M Chinnaswamy Stadium,CH Gayle
MA Chidambaram Stadium,MEK Hussey
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",SM Curran
Maharashtra Cricket Association Stadium,MA Agarwal
"Narendra Modi Stadium, Ahmedabad",Shubman Gill
Nehru Stadium,AB de Villiers
New Wanderers Stadium,JH Kallis
"Newlands, Cape Town",SR Tendulkar
OUTsurance Oval,B Lee
"Punjab Cricket Association Stadium, Mohali",SE Marsh
Rajiv Gandhi International Stadium,DA Warner
Saurashtra Cricket Association Stadium,AJ Finch
Sawai Mansingh Stadium,AM Rahane
Shaheed Veer Narayan Singh International Stadium,DA Warner
Sharjah Cricket Stadium,GJ Maxwell
Sheikh Zayed Stadium,SA Yadav
St George's Park,M Muralitharan
Subrata Roy Sahara Stadium,MN Samuels
SuperSport Park,YK Pathan
"Vidarbha Cricket Association Stadium, Jamtha",SK Warne
Wankhede Stadium,RG Sharma
"Zayed Cricket Stadium, Abu Dhabi",CV Varun
