venue,match_won_by
Arun Jaitley Stadium,Delhi Capitals
Barabati Stadium,Deccan Chargers
"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants
Brabourne Stadium,Mumbai Indians
Buffalo Park,Mumbai Indians
De Beers Diamond Oval,Punjab Kings
Dr DY Patil Sports Academy,Mumbai Indians
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals
Dubai International Cricket Stadium,Chennai Super Kings
Eden Gardens,Kolkata Knight Riders
Green Park,Gujarat Lions
Himachal Pradesh Cricket Association Stadium,Punjab Kings
Holkar Cricket Stadium,Punjab Kings
JSCA International Stadium Complex,Chennai Super Kings
Kingsmead,Delhi Capitals
M Chinnaswamy Stadium,Royal Challengers Bengaluru
MA Chidambaram Stadium,Chennai Super Kings
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings
Maharashtra Cricket Association Stadium,Chennai Super Kings
"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
Nehru Stadium,Kochi Tuskers Kerala
New Wanderers Stadium,Royal Challengers Bengaluru
"Newlands, Cape Town",Deccan Chargers
OUTsurance Oval,Punjab Kings
"Punjab Cricket Association Stadium, Mohali",Punjab Kings
Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Saurashtra Cricket Association Stadium,Gujarat Lions
Sawai Mansingh Stadium,Rajasthan Royals
Shaheed Veer Narayan Singh International Stadium,Delhi Capitals
Sharjah Cricket Stadium,Punjab Kings
Sheikh Zayed Stadium,Mumbai Indians
St George's Park,Chennai Super Kings
Subrata Roy Sahara Stadium,Pune Warriors
SuperSport Park,Rajasthan Royals
"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers
Wankhede Stadium,Mumbai Indians
"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders
